"id","building_type_id","area_tier","discipline","lod","rate_per_sq_ft","updated_at","updated_by"
"181","2","10k-20k","structure","lod200","0.075","""2025-10-13T19:48:59.300Z""",
"182","2","10k-20k","structure","lod300","0.125","""2025-10-13T19:48:59.300Z""",
"183","2","10k-20k","structure","lod350","0.138","""2025-10-13T19:48:59.300Z""",
"184","2","10k-20k","structure","lod350plus","0.163","""2025-10-13T19:48:59.300Z""",
"185","2","10k-20k","mepf","lod200","0.050","""2025-10-13T19:48:59.300Z""",
"186","2","10k-20k","mepf","lod300","0.075","""2025-10-13T19:48:59.300Z""",
"187","2","10k-20k","mepf","lod350","0.088","""2025-10-13T19:48:59.300Z""",
"188","2","10k-20k","mepf","lod350plus","0.100","""2025-10-13T19:48:59.300Z""",
"189","2","10k-20k","site","lod200","0.060","""2025-10-13T19:48:59.300Z""",
"190","2","10k-20k","site","lod300","0.055","""2025-10-13T19:48:59.300Z""",
"191","2","10k-20k","site","lod350","0.065","""2025-10-13T19:48:59.300Z""",
"192","2","10k-20k","site","lod350plus","0.090","""2025-10-13T19:48:59.300Z""",
"193","2","20k-30k","architecture","lod200","0.518","""2025-10-13T19:48:59.300Z""",
"194","2","20k-30k","architecture","lod300","0.699","""2025-10-13T19:48:59.300Z""",
"195","2","20k-30k","architecture","lod350","0.912","""2025-10-13T19:48:59.300Z""",
"196","2","20k-30k","architecture","lod350plus","1.046","""2025-10-13T19:48:59.300Z""",
"197","2","20k-30k","structure","lod200","0.063","""2025-10-13T19:48:59.300Z""",
"198","2","20k-30k","structure","lod300","0.113","""2025-10-13T19:48:59.300Z""",
"199","2","20k-30k","structure","lod350","0.125","""2025-10-13T19:48:59.300Z""",
"200","2","20k-30k","structure","lod350plus","0.150","""2025-10-13T19:48:59.300Z""",
"201","2","20k-30k","mepf","lod200","0.050","""2025-10-13T19:48:59.300Z""",
"202","2","20k-30k","mepf","lod300","0.075","""2025-10-13T19:48:59.300Z""",
"203","2","20k-30k","mepf","lod350","0.088","""2025-10-13T19:48:59.300Z""",
"204","2","20k-30k","mepf","lod350plus","0.100","""2025-10-13T19:48:59.300Z""",
"205","2","20k-30k","site","lod200","0.050","""2025-10-13T19:48:59.300Z""",
"206","2","20k-30k","site","lod300","0.055","""2025-10-13T19:48:59.300Z""",
"207","2","20k-30k","site","lod350","0.065","""2025-10-13T19:48:59.300Z""",
"208","2","20k-30k","site","lod350plus","0.090","""2025-10-13T19:48:59.300Z""",
"209","2","30k-40k","architecture","lod200","0.437","""2025-10-13T19:48:59.300Z""",
"210","2","30k-40k","architecture","lod300","0.598","""2025-10-13T19:48:59.300Z""",
"211","2","30k-40k","architecture","lod350","0.787","""2025-10-13T19:48:59.300Z""",
"212","2","30k-40k","architecture","lod350plus","0.902","""2025-10-13T19:48:59.300Z""",
"213","2","30k-40k","structure","lod200","0.040","""2025-10-13T19:48:59.300Z""",
"214","2","30k-40k","structure","lod300","0.080","""2025-10-13T19:48:59.300Z""",
"215","2","30k-40k","structure","lod350","0.090","""2025-10-13T19:48:59.300Z""",
"216","2","30k-40k","structure","lod350plus","0.110","""2025-10-13T19:48:59.300Z""",
"217","2","30k-40k","mepf","lod200","0.040","""2025-10-13T19:48:59.300Z""",
"218","2","30k-40k","mepf","lod300","0.060","""2025-10-13T19:48:59.300Z""",
"219","2","30k-40k","mepf","lod350","0.070","""2025-10-13T19:48:59.300Z""",
"220","2","30k-40k","mepf","lod350plus","0.080","""2025-10-13T19:48:59.300Z""",
"221","2","30k-40k","site","lod200","0.050","""2025-10-13T19:48:59.300Z""",
"222","2","30k-40k","site","lod300","0.050","""2025-10-13T19:48:59.300Z""",
"223","2","30k-40k","site","lod350","0.060","""2025-10-13T19:48:59.300Z""",
"224","2","30k-40k","site","lod350plus","0.080","""2025-10-13T19:48:59.300Z""",
"225","2","40k-50k","architecture","lod200","0.360","""2025-10-13T19:48:59.300Z""",
"226","2","40k-50k","architecture","lod300","0.500","""2025-10-13T19:48:59.300Z""",
"227","2","40k-50k","architecture","lod350","0.660","""2025-10-13T19:48:59.300Z""",
"228","2","40k-50k","architecture","lod350plus","0.760","""2025-10-13T19:48:59.300Z""",
"229","2","40k-50k","structure","lod200","0.030","""2025-10-13T19:48:59.300Z""",
"230","2","40k-50k","structure","lod300","0.070","""2025-10-13T19:48:59.300Z""",
"231","2","40k-50k","structure","lod350","0.080","""2025-10-13T19:48:59.300Z""",
"232","2","40k-50k","structure","lod350plus","0.100","""2025-10-13T19:48:59.300Z""",
"233","2","40k-50k","mepf","lod200","0.030","""2025-10-13T19:48:59.300Z""",
"234","2","40k-50k","mepf","lod300","0.050","""2025-10-13T19:48:59.300Z""",
"235","2","40k-50k","mepf","lod350","0.060","""2025-10-13T19:48:59.300Z""",
"236","2","40k-50k","mepf","lod350plus","0.070","""2025-10-13T19:48:59.300Z""",
"237","2","40k-50k","site","lod200","0.050","""2025-10-13T19:48:59.300Z""",
"238","2","40k-50k","site","lod300","0.050","""2025-10-13T19:48:59.300Z""",
"239","2","40k-50k","site","lod350","0.060","""2025-10-13T19:48:59.300Z""",
"240","2","40k-50k","site","lod350plus","0.080","""2025-10-13T19:48:59.300Z""",
"241","2","50k-75k","architecture","lod200","0.276","""2025-10-13T19:48:59.300Z""",
"242","2","50k-75k","architecture","lod300","0.414","""2025-10-13T19:48:59.300Z""",
"243","2","50k-75k","architecture","lod350","0.473","""2025-10-13T19:48:59.300Z""",
"244","2","50k-75k","architecture","lod350plus","0.542","""2025-10-13T19:48:59.300Z""",
"245","2","50k-75k","structure","lod200","0.020","""2025-10-13T19:48:59.300Z""",
"246","2","50k-75k","structure","lod300","0.060","""2025-10-13T19:48:59.300Z""",
"247","2","50k-75k","structure","lod350","0.070","""2025-10-13T19:48:59.300Z""",
"248","2","50k-75k","structure","lod350plus","0.090","""2025-10-13T19:48:59.300Z""",
"249","2","50k-75k","mepf","lod200","0.030","""2025-10-13T19:48:59.300Z""",
"250","2","50k-75k","mepf","lod300","0.050","""2025-10-13T19:48:59.300Z""",
"251","2","50k-75k","mepf","lod350","0.060","""2025-10-13T19:48:59.300Z""",
"252","2","50k-75k","mepf","lod350plus","0.070","""2025-10-13T19:48:59.300Z""",
"253","2","50k-75k","site","lod200","0.050","""2025-10-13T19:48:59.300Z""",
"254","2","50k-75k","site","lod300","0.050","""2025-10-13T19:48:59.300Z""",
"255","2","50k-75k","site","lod350","0.060","""2025-10-13T19:48:59.300Z""",
"256","2","50k-75k","site","lod350plus","0.070","""2025-10-13T19:48:59.300Z""",
"257","2","75k-100k","architecture","lod200","0.207","""2025-10-13T19:48:59.300Z""",
"258","2","75k-100k","architecture","lod300","0.311","""2025-10-13T19:48:59.300Z""",
"259","2","75k-100k","architecture","lod350","0.400","""2025-10-13T19:48:59.300Z""",
"260","2","75k-100k","architecture","lod350plus","0.459","""2025-10-13T19:48:59.300Z""",
"261","2","75k-100k","structure","lod200","0.020","""2025-10-13T19:48:59.300Z""",
"262","2","75k-100k","structure","lod300","0.050","""2025-10-13T19:48:59.300Z""",
"263","2","75k-100k","structure","lod350","0.060","""2025-10-13T19:48:59.300Z""",
"264","2","75k-100k","structure","lod350plus","0.080","""2025-10-13T19:48:59.300Z""",
"265","2","75k-100k","mepf","lod200","0.030","""2025-10-13T19:48:59.300Z""",
"266","2","75k-100k","mepf","lod300","0.050","""2025-10-13T19:48:59.300Z""",
"267","2","75k-100k","mepf","lod350","0.060","""2025-10-13T19:48:59.300Z""",
"268","2","75k-100k","mepf","lod350plus","0.070","""2025-10-13T19:48:59.300Z""",
"269","2","75k-100k","site","lod200","0.050","""2025-10-13T19:48:59.300Z""",
"270","2","75k-100k","site","lod300","0.050","""2025-10-13T19:48:59.300Z""",
"271","2","75k-100k","site","lod350","0.050","""2025-10-13T19:48:59.300Z""",
"272","2","75k-100k","site","lod350plus","0.070","""2025-10-13T19:48:59.300Z""",
"273","2","100k+","architecture","lod200","0.155","""2025-10-13T19:48:59.300Z""",
"274","2","100k+","architecture","lod300","0.224","""2025-10-13T19:48:59.300Z""",
"275","2","100k+","architecture","lod350","0.273","""2025-10-13T19:48:59.300Z""",
"276","2","100k+","architecture","lod350plus","0.314","""2025-10-13T19:48:59.300Z""",
"277","2","100k+","structure","lod200","0.020","""2025-10-13T19:48:59.300Z""",
"278","2","100k+","structure","lod300","0.040","""2025-10-13T19:48:59.300Z""",
"279","2","100k+","structure","lod350","0.050","""2025-10-13T19:48:59.300Z""",
"280","2","100k+","structure","lod350plus","0.070","""2025-10-13T19:48:59.300Z""",
"281","2","100k+","mepf","lod200","0.020","""2025-10-13T19:48:59.300Z""",
"282","2","100k+","mepf","lod300","0.040","""2025-10-13T19:48:59.300Z""",
"283","2","100k+","mepf","lod350","0.050","""2025-10-13T19:48:59.300Z""",
"284","2","100k+","mepf","lod350plus","0.060","""2025-10-13T19:48:59.300Z""",
"285","2","100k+","site","lod200","0.050","""2025-10-13T19:48:59.300Z""",
"286","2","100k+","site","lod300","0.050","""2025-10-13T19:48:59.300Z""",
"287","2","100k+","site","lod350","0.050","""2025-10-13T19:48:59.300Z""",
"288","2","100k+","site","lod350plus","0.060","""2025-10-13T19:48:59.300Z""",
"289","3","0-5k","architecture","lod200","0.932","""2025-10-13T19:48:59.300Z""",
"290","3","0-5k","architecture","lod300","1.208","""2025-10-13T19:48:59.300Z""",
"291","3","0-5k","architecture","lod350","1.532","""2025-10-13T19:48:59.300Z""",
"292","3","0-5k","architecture","lod350plus","1.815","""2025-10-13T19:48:59.300Z""",
"293","3","0-5k","structure","lod200","0.150","""2025-10-13T19:48:59.300Z""",
"294","3","0-5k","structure","lod300","0.210","""2025-10-13T19:48:59.300Z""",
"295","3","0-5k","structure","lod350","0.240","""2025-10-13T19:48:59.300Z""",
"296","3","0-5k","structure","lod350plus","0.270","""2025-10-13T19:48:59.300Z""",
"297","3","0-5k","mepf","lod200","0.105","""2025-10-13T19:48:59.300Z""",
"298","3","0-5k","mepf","lod300","0.135","""2025-10-13T19:48:59.300Z""",
"299","3","0-5k","mepf","lod350","0.150","""2025-10-13T19:48:59.300Z""",
"300","3","0-5k","mepf","lod350plus","0.165","""2025-10-13T19:48:59.300Z""",
"301","3","0-5k","site","lod200","0.045","""2025-10-13T19:48:59.300Z""",
"302","3","0-5k","site","lod300","0.051","""2025-10-13T19:48:59.300Z""",
"303","3","0-5k","site","lod350","0.060","""2025-10-13T19:48:59.300Z""",
"304","3","0-5k","site","lod350plus","0.075","""2025-10-13T19:48:59.300Z""",
"305","3","5k-10k","architecture","lod200","0.819","""2025-10-13T19:48:59.300Z""",
"306","3","5k-10k","architecture","lod300","1.071","""2025-10-13T19:48:59.300Z""",
"307","3","5k-10k","architecture","lod350","1.329","""2025-10-13T19:48:59.300Z""",
"308","3","5k-10k","architecture","lod350plus","1.575","""2025-10-13T19:48:59.300Z""",
"309","3","5k-10k","structure","lod200","0.135","""2025-10-13T19:48:59.300Z""",
