"id","building_type_id","area_tier","package_type","rate_per_sq_ft","updated_at"
"158","6","75k-100k","a_s_site","0.030","""2025-10-22T19:15:19.229Z"""
"159","6","75k-100k","a_s_mep_site","0.036","""2025-10-22T19:15:19.229Z"""
"160","6","100k+","basic_architecture","0.024","""2025-10-22T19:15:19.229Z"""
"161","6","100k+","a_s_site","0.028","""2025-10-22T19:15:19.229Z"""
"162","6","100k+","a_s_mep_site","0.030","""2025-10-22T19:15:19.229Z"""
"163","11","0-5k","basic_architecture","0.100","""2025-10-22T19:15:19.229Z"""
"164","11","0-5k","a_s_site","0.110","""2025-10-22T19:15:19.229Z"""
"165","11","0-5k","a_s_mep_site","0.140","""2025-10-22T19:15:19.229Z"""
"166","11","5k-10k","basic_architecture","0.080","""2025-10-22T19:15:19.229Z"""
"167","11","5k-10k","a_s_site","0.090","""2025-10-22T19:15:19.229Z"""
"168","11","5k-10k","a_s_mep_site","0.100","""2025-10-22T19:15:19.229Z"""
"169","11","10k-20k","basic_architecture","0.050","""2025-10-22T19:15:19.229Z"""
"170","11","10k-20k","a_s_site","0.060","""2025-10-22T19:15:19.229Z"""
"171","11","10k-20k","a_s_mep_site","0.070","""2025-10-22T19:15:19.229Z"""
"172","11","20k-30k","basic_architecture","0.040","""2025-10-22T19:15:19.229Z"""
"173","11","20k-30k","a_s_site","0.050","""2025-10-22T19:15:19.229Z"""
"174","11","20k-30k","a_s_mep_site","0.060","""2025-10-22T19:15:19.229Z"""
"175","11","30k-40k","basic_architecture","0.040","""2025-10-22T19:15:19.229Z"""
"176","11","30k-40k","a_s_site","0.050","""2025-10-22T19:15:19.229Z"""
"177","11","30k-40k","a_s_mep_site","0.044","""2025-10-22T19:15:19.229Z"""
"178","11","40k-50k","basic_architecture","0.036","""2025-10-22T19:15:19.229Z"""
"179","11","40k-50k","a_s_site","0.040","""2025-10-22T19:15:19.229Z"""
"180","11","40k-50k","a_s_mep_site","0.044","""2025-10-22T19:15:19.229Z"""
"181","11","50k-75k","basic_architecture","0.032","""2025-10-22T19:15:19.229Z"""
"182","11","50k-75k","a_s_site","0.030","""2025-10-22T19:15:19.229Z"""
"183","11","50k-75k","a_s_mep_site","0.040","""2025-10-22T19:15:19.229Z"""
"184","11","75k-100k","basic_architecture","0.032","""2025-10-22T19:15:19.229Z"""
"185","11","75k-100k","a_s_site","0.030","""2025-10-22T19:15:19.229Z"""
"186","11","75k-100k","a_s_mep_site","0.036","""2025-10-22T19:15:19.229Z"""
"187","11","100k+","basic_architecture","0.024","""2025-10-22T19:15:19.229Z"""
"188","11","100k+","a_s_site","0.028","""2025-10-22T19:15:19.229Z"""
"189","11","100k+","a_s_mep_site","0.030","""2025-10-22T19:15:19.229Z"""
