"id","building_type_id","area_tier","discipline","lod","rate_per_sq_ft","updated_at"
"92","1","40k-50k","mepf","lod350plus","0.035","""2025-10-22T14:14:40.564Z"""
"93","1","40k-50k","site","lod200","0.010","""2025-10-22T14:14:40.564Z"""
"94","1","40k-50k","site","lod300","0.010","""2025-10-22T14:14:40.564Z"""
"95","1","40k-50k","site","lod350","0.012","""2025-10-22T14:14:40.564Z"""
"96","1","40k-50k","site","lod350plus","0.016","""2025-10-22T14:14:40.564Z"""
"97","1","50k-75k","architecture","lod200","0.075","""2025-10-22T14:14:40.564Z"""
"98","1","50k-75k","architecture","lod300","0.115","""2025-10-22T14:14:40.564Z"""
"99","1","50k-75k","architecture","lod350","0.132","""2025-10-22T14:14:40.564Z"""
"100","1","50k-75k","architecture","lod350plus","0.152","""2025-10-22T14:14:40.564Z"""
"101","1","50k-75k","structure","lod200","0.010","""2025-10-22T14:14:40.632Z"""
"102","1","50k-75k","structure","lod300","0.025","""2025-10-22T14:14:40.632Z"""
"103","1","50k-75k","structure","lod350","0.030","""2025-10-22T14:14:40.632Z"""
"104","1","50k-75k","structure","lod350plus","0.040","""2025-10-22T14:14:40.632Z"""
"105","1","50k-75k","mepf","lod200","0.015","""2025-10-22T14:14:40.632Z"""
"106","1","50k-75k","mepf","lod300","0.025","""2025-10-22T14:14:40.632Z"""
"107","1","50k-75k","mepf","lod350","0.030","""2025-10-22T14:14:40.632Z"""
"108","1","50k-75k","mepf","lod350plus","0.035","""2025-10-22T14:14:40.632Z"""
"109","1","50k-75k","site","lod200","0.010","""2025-10-22T14:14:40.632Z"""
"110","1","50k-75k","site","lod300","0.010","""2025-10-22T14:14:40.632Z"""
"111","1","50k-75k","site","lod350","0.012","""2025-10-22T14:14:40.632Z"""
"112","1","50k-75k","site","lod350plus","0.014","""2025-10-22T14:14:40.632Z"""
"113","1","75k-100k","architecture","lod200","0.055","""2025-10-22T14:14:40.632Z"""
"114","1","75k-100k","architecture","lod300","0.085","""2025-10-22T14:14:40.632Z"""
"115","1","75k-100k","architecture","lod350","0.111","""2025-10-22T14:14:40.632Z"""
"116","1","75k-100k","architecture","lod350plus","0.128","""2025-10-22T14:14:40.632Z"""
"117","1","75k-100k","structure","lod200","0.010","""2025-10-22T14:14:40.632Z"""
"118","1","75k-100k","structure","lod300","0.020","""2025-10-22T14:14:40.632Z"""
"119","1","75k-100k","structure","lod350","0.025","""2025-10-22T14:14:40.632Z"""
"120","1","75k-100k","structure","lod350plus","0.035","""2025-10-22T14:14:40.632Z"""
"121","1","75k-100k","mepf","lod200","0.010","""2025-10-22T14:14:40.632Z"""
"122","1","75k-100k","mepf","lod300","0.020","""2025-10-22T14:14:40.632Z"""
"123","1","75k-100k","mepf","lod350","0.025","""2025-10-22T14:14:40.632Z"""
"124","1","75k-100k","mepf","lod350plus","0.030","""2025-10-22T14:14:40.632Z"""
"125","1","75k-100k","site","lod200","0.010","""2025-10-22T14:14:40.632Z"""
"126","1","75k-100k","site","lod300","0.010","""2025-10-22T14:14:40.632Z"""
"127","1","75k-100k","site","lod350","0.010","""2025-10-22T14:14:40.632Z"""
"128","1","75k-100k","site","lod350plus","0.014","""2025-10-22T14:14:40.632Z"""
"129","1","100k+","architecture","lod200","0.040","""2025-10-22T14:14:40.632Z"""
"130","1","100k+","architecture","lod300","0.060","""2025-10-22T14:14:40.632Z"""
"131","1","100k+","architecture","lod350","0.074","""2025-10-22T14:14:40.632Z"""
"132","1","100k+","architecture","lod350plus","0.086","""2025-10-22T14:14:40.632Z"""
"133","1","100k+","structure","lod200","0.010","""2025-10-22T14:14:40.632Z"""
"134","1","100k+","structure","lod300","0.015","""2025-10-22T14:14:40.632Z"""
